date,phu_name,at_least_one_dose_cumulative,fully_vaccinated_cumulative,third_dose_cumulative,total_population,percent_at_least_one_dose,percent_fully_vaccinated,percent_3doses,phu_num,active_cases,resolved_cases,deaths,archived_resolved_cases,archived_deaths,percent_active_cases,percent_deaths,percent_resolved_cases
2022-01-07,LAMBTON COUNTY,102684.0,97150.0,32395.0,126574,81.13,76.75,25.590000000000003,2242,1405,5153,83,5150.0,86.0,1.1100225954777443,0.06557428855847172,4.071136252310901
2022-01-07,"LEEDS, GRENVILLE AND LANARK DISTRICT",159628.0,150396.0,66759.0,172131,92.74,87.37,38.78,2243,1362,2982,67,2982.0,67.0,0.7912578210781323,0.038923842887103426,1.7324014849155585
2022-01-07,MIDDLESEX-LONDON,435509.0,406299.0,147514.0,485049,89.79,83.76,30.409999999999997,2244,4605,18090,257,18088.0,259.0,0.9493886184694742,0.05298433766485448,3.7295201103393674
2022-01-07,NIAGARA REGION,394545.0,370609.0,129067.0,460171,85.74000000000001,80.54,28.050000000000004,2246,3673,20982,448,20977.0,453.0,0.7981815455558912,0.09735511364253724,4.559609362606509
2022-01-07,NORTH BAY PARRY SOUND DISTRICT,104334.0,98146.0,46381.0,123747,84.31,79.31,37.480000000000004,2247,636,1270,9,1270.0,9.0,0.5139518533782637,0.0072729035855414684,1.0262875059597405
2022-01-07,NORTHWESTERN,71285.0,64729.0,26443.0,76333,93.39,84.8,34.64,2249,609,1565,10,1564.0,11.0,0.7978200778169338,0.0131004938886196,2.050227293568968
2022-01-07,CITY OF OTTAWA,906419.0,836164.0,383829.0,992312,91.34,84.26,38.68,2251,8840,38790,614,38774.0,630.0,0.8908488459274906,0.06187570038455646,3.9090527979103347
2022-01-07,PEEL REGION,1293825.0,1214355.0,336990.0,1481534,87.33,81.97,22.75,2253,15543,124578,998,124547.0,1029.0,1.0491153088623009,0.06736261199540476,8.408716910985506
2022-01-07,PETERBOROUGH COUNTY-CITY,121958.0,114647.0,55240.0,141576,86.14,80.97999999999999,39.019999999999996,2255,1038,2662,31,2661.0,32.0,0.7331751144261739,0.02189636661581059,1.8802621913318642
2022-01-07,PORCUPINE,69350.0,63450.0,25765.0,80737,85.9,78.59,31.91,2256,869,2522,31,2522.0,31.0,1.0763342705327175,0.0383962743228012,3.1237227045840195
2022-01-07,RENFREW COUNTY AND DISTRICT,84502.0,79019.0,29858.0,103045,82.0,76.68,28.98,2257,659,1216,16,1216.0,16.0,0.6395264204958999,0.015527196855742637,1.1800669610364405
2022-01-07,EASTERN ONTARIO,177252.0,164851.0,59956.0,205075,86.42999999999999,80.39,29.24,2258,2534,7009,126,6993.0,142.0,1.2356454955504084,0.06144093624283799,3.4177739851273925
2022-01-07,SIMCOE MUSKOKA DISTRICT,490083.0,459431.0,181394.0,575014,85.22999999999999,79.9,31.55,2260,5095,19505,279,19494.0,290.0,0.8860653827558981,0.04852055776033279,3.3920913229938754
2022-01-07,SUDBURY AND DISTRICT,170680.0,158880.0,66338.0,196072,87.05000000000001,81.03,33.83,2261,1492,4822,56,4822.0,56.0,0.760944958994655,0.028560936798726996,2.459300665061814
2022-01-07,THUNDER BAY DISTRICT,130972.0,121632.0,45137.0,149989,87.32,81.08999999999999,30.09,2262,686,4047,72,4047.0,72.0,0.4573668735707285,0.048003520258152264,2.698197867843642
2022-01-07,TIMISKAMING,27031.0,25109.0,12888.0,32164,84.04,78.07,40.07,2263,216,531,3,529.0,5.0,0.6715582638975252,0.00932719810968785,1.6509140654147496
2022-01-07,WATERLOO REGION,499467.0,465650.0,185641.0,573162,87.14,81.24,32.39,2265,5134,24207,318,24207.0,318.0,0.895732794567679,0.05548169627435176,4.2234132758277765
2022-01-07,WELLINGTON-DUFFERIN-GUELPH,258024.0,241100.0,102218.0,295016,87.46000000000001,81.72,34.65,2266,2698,11497,124,11493.0,128.0,0.9145266697399463,0.042031618624074625,3.8970767687176293
2022-01-07,WINDSOR-ESSEX COUNTY,348250.0,326385.0,136554.0,410271,84.88,79.55,33.28,2268,2985,24471,501,24462.0,510.0,0.7275678758674144,0.12211440730639017,5.964594134121105
